id,checkio-init,checkio-5,checkio-10
140153357,0.0,0.0,0.0
170162354,1.0,1.0,1.0
180100246,1.0,1.0,0.0
180136801,1.0,1.0,0.0
180147064,1.0,1.0,1.0
190031697,1.0,1.0,0.0
190086106,1.0,1.0,0.0
190088656,1.0,1.0,0.0
190089971,1.0,1.0,0.0
211061340,0.0,0.0,0.0
211061458,1.0,1.0,1.0
211061467,0.0,0.0,0.0
211061510,1.0,1.0,0.0
211061538,1.0,1.0,0.0
211061986,1.0,1.0,0.0
211062007,1.0,1.0,0.0
211062016,1.0,1.0,0.0
211062043,1.0,1.0,0.0
211062188,1.0,1.0,0.0
211062230,1.0,0.0,0.0
211062240,0.0,0.0,0.0
211062259,1.0,1.0,0.0
211062295,1.0,1.0,0.0
211062320,1.0,1.0,0.0
211062384,1.0,1.0,0.0
211062526,1.0,1.0,0.0
211062535,0.0,0.0,0.0
211062571,0.0,0.0,0.0
211062606,1.0,1.0,0.0
211062615,1.0,1.0,0.0
211062624,1.0,1.0,0.0
211062689,1.0,1.0,1.0
211062698,1.0,1.0,0.0
211062722,1.0,1.0,0.0
211062769,1.0,1.0,1.0
211062778,0.0,0.0,0.0
211062796,1.0,1.0,0.0
211063004,0.0,0.0,0.0
211063149,1.0,0.0,0.0
211063158,1.0,1.0,0.0
211063185,1.0,1.0,0.0
211063194,1.0,1.0,0.0
